date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:17	53976/53976	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/home/2.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/home/2.jpg	(from http://iglyphic.com/themes/html/html_elevation/index.html)
15:08:18	52070/52070	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/home/3.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/home/3.jpg	(from http://iglyphic.com/themes/html/html_elevation/index.html)
15:08:25	25860/25860	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/event/1.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/event/1.jpg	(from http://iglyphic.com/themes/html/html_elevation/index.html)
15:08:29	32148/32148	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/event/3.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/event/3.jpg	(from http://iglyphic.com/themes/html/html_elevation/index.html)
15:08:30	4315/4315	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/home/lime.png	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/home/lime.png	(from http://iglyphic.com/themes/html/html_elevation/index.html)
15:08:35	61160/61160	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/home/7.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/home/7.jpg	(from http://iglyphic.com/themes/html/html_elevation/index.html)
15:08:36	29210/29210	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/home/8.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/home/8.jpg	(from http://iglyphic.com/themes/html/html_elevation/index.html)
15:08:48	38675/38675	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/home/10.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/home/10.jpg	(from http://iglyphic.com/themes/html/html_elevation/index.html)
15:08:53	3163/3163	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/home/icon6.png	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/home/icon6.png	(from http://iglyphic.com/themes/html/html_elevation/index-two.html)
15:08:57	1804682/1804682	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/fonts/Gabriola.eot?	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/fonts/Gabriolad41d.eot	(from http://iglyphic.com/themes/html/html_elevation/css/style.css)
15:09:10	201689/201689	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/js/chart.bundle.min.js	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/js/chart.bundle.min.js	(from http://iglyphic.com/themes/html/html_elevation/index.html)
15:09:14	83395/83395	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/event/4.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/event/4.jpg	(from http://iglyphic.com/themes/html/html_elevation/event.html)
15:09:22	68541/68541	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/event/5.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/event/5.jpg	(from http://iglyphic.com/themes/html/html_elevation/event.html)
15:09:30	94627/94627	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/event/6.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/event/6.jpg	(from http://iglyphic.com/themes/html/html_elevation/event.html)
15:09:37	79370/79370	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/event/7.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/event/7.jpg	(from http://iglyphic.com/themes/html/html_elevation/event.html)
15:09:47	82677/82677	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/event/8.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/event/8.jpg	(from http://iglyphic.com/themes/html/html_elevation/event.html)
15:09:51	21520/21520	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/event/avatar3.png	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/event/avatar3.png	(from http://iglyphic.com/themes/html/html_elevation/event-detail.html)
15:09:52	1346/1346	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/causes/5.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/causes/5.jpg	(from http://iglyphic.com/themes/html/html_elevation/event-detail.html)
15:09:56	110039/110039	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/event/9.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/event/9.jpg	(from http://iglyphic.com/themes/html/html_elevation/event.html)
15:10:03	64576/64576	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/causes/3.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/causes/3.jpg	(from http://iglyphic.com/themes/html/html_elevation/causes-grid.html)
15:10:03	42133/42133	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/causes/2.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/causes/2.jpg	(from http://iglyphic.com/themes/html/html_elevation/causes-grid.html)
15:10:07	20266/20266	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/causes/4.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/causes/4.jpg	(from http://iglyphic.com/themes/html/html_elevation/causes-list.html)
15:10:34	158808/158808	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/blog/2.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/blog/2.jpg	(from http://iglyphic.com/themes/html/html_elevation/blog.html)
15:10:39	215518/215518	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/blog/1.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/blog/1.jpg	(from http://iglyphic.com/themes/html/html_elevation/blog.html)
15:10:42	669888/669888	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/js/zingchart.min.js	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/js/zingchart.min.js	(from http://iglyphic.com/themes/html/html_elevation/index-two.html)
15:10:43	1519/1519	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/blog/5.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/blog/5.jpg	(from http://iglyphic.com/themes/html/html_elevation/blog-detail.html)
15:10:48	25225/25225	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/js/maps/gmap3.min.js	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/js/maps/gmap3.min.js	(from http://iglyphic.com/themes/html/html_elevation/contact-us.html)
15:10:48	51325/51325	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/blog/4.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/blog/4.jpg	(from http://iglyphic.com/themes/html/html_elevation/blog-detail.html)
15:10:50	6755/6755	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/js/maps/map-init.js	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/js/maps/map-init.js	(from http://iglyphic.com/themes/html/html_elevation/contact-us.html)
15:11:02	256507/256507	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/blog/3.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/blog/3.jpg	(from http://iglyphic.com/themes/html/html_elevation/blog.html)
15:11:25	3904080/3904080	---M--	200	added ('OK')	font/ttf	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/fonts/Gabriola.ttf	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/fonts/Gabriola.ttf	(from http://iglyphic.com/themes/html/html_elevation/css/style.css)
15:14:51	3865/3865	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/home/icon7.png	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/home/icon7.png	(from http://iglyphic.com/themes/html/html_elevation/index-two.html)
